Date,"Antibiotico"
2015-07-01,293
2015-07-02,258
2015-07-03,252
2015-07-04,195
2015-07-05,253
2015-07-06,242
2015-07-07,263
2015-07-08,257
2015-07-09,274
2015-07-10,252
2015-07-11,198
2015-07-12,211
2015-07-13,249
2015-07-14,256
2015-07-15,266
2015-07-16,223
2015-07-17,282
2015-07-18,193
2015-07-19,223
2015-07-20,253
2015-07-21,243
2015-07-22,251
2015-07-23,253
2015-07-24,238
2015-07-25,196
2015-07-26,197
2015-07-27,273
2015-07-28,258
2015-07-29,239
2015-07-30,235
2015-07-31,212
2015-08-01,178
2015-08-02,202
2015-08-03,199
2015-08-04,236
2015-08-05,218
2015-08-06,244
2015-08-07,221
2015-08-08,159
2015-08-09,190
2015-08-10,218
2015-08-11,256
2015-08-12,231
2015-08-13,249
2015-08-14,222
2015-08-15,195
2015-08-16,217
2015-08-17,224
2015-08-18,273
2015-08-19,238
2015-08-20,257
2015-08-21,263
2015-08-22,198
2015-08-23,222
2015-08-24,307
2015-08-25,260
2015-08-26,282
2015-08-27,308
2015-08-28,280
2015-08-29,332
2015-08-30,231
2015-08-31,284
2015-09-01,345
2015-09-02,322
2015-09-03,278
2015-09-04,420
2015-09-05,296
2015-09-06,279
2015-09-07,333
2015-09-08,282
2015-09-09,256
2015-09-10,301
2015-09-11,255
2015-09-12,240
2015-09-13,202
2015-09-14,263
2015-09-15,268
2015-09-16,293
2015-09-17,284
2015-09-18,274
2015-09-19,229
2015-09-20,215
2015-09-21,287
2015-09-22,318
2015-09-23,281
2015-09-24,289
2015-09-25,309
2015-09-26,223
2015-09-27,210
2015-09-28,334
2015-09-29,256
2015-09-30,304
2015-10-01,315
2015-10-02,279
2015-10-03,219
2015-10-04,235
2015-10-05,319
2015-10-06,371
2015-10-07,355
2015-10-08,282
2015-10-09,285
2015-10-10,299
2015-10-11,275
2015-10-12,337
2015-10-13,348
2015-10-14,310
2015-10-15,318
2015-10-16,343
2015-10-17,286
2015-10-18,302
2015-10-19,402
2015-10-20,363
2015-10-21,363
2015-10-22,315
2015-10-23,365
2015-10-24,297
2015-10-25,272
2015-10-26,303
2015-10-27,346
2015-10-28,357
2015-10-29,333
2015-10-30,293
2015-10-31,217
2015-11-01,249
2015-11-02,346
2015-11-03,388
2015-11-04,303
2015-11-05,309
2015-11-06,340
2015-11-07,282
2015-11-08,259
2015-11-09,340
2015-11-10,373
2015-11-11,361
2015-11-12,332
2015-11-13,350
2015-11-14,225
2015-11-15,287
2015-11-16,329
2015-11-17,383
2015-11-18,353
2015-11-19,365
2015-11-20,391
2015-11-21,306
2015-11-22,354
2015-11-23,356
2015-11-24,357
2015-11-25,310
2015-11-26,386
2015-11-27,342
2015-11-28,318
2015-11-29,297
2015-11-30,386
2015-12-01,371
2015-12-02,375
2015-12-03,383
2015-12-04,308
2015-12-05,289
2015-12-06,267
2015-12-07,287
2015-12-08,284
2015-12-09,431
2015-12-10,349
