Date,"Aspirina"
2015-07-01,19
2015-07-02,22
2015-07-03,24
2015-07-04,19
2015-07-05,21
2015-07-06,20
2015-07-07,23
2015-07-08,16
2015-07-09,18
2015-07-10,21
2015-07-11,15
2015-07-12,12
2015-07-13,22
2015-07-14,12
2015-07-15,21
2015-07-16,16
2015-07-17,17
2015-07-18,18
2015-07-19,18
2015-07-20,28
2015-07-21,17
2015-07-22,29
2015-07-23,36
2015-07-24,18
2015-07-25,16
2015-07-26,17
2015-07-27,23
2015-07-28,23
2015-07-29,17
2015-07-30,8
2015-07-31,15
2015-08-01,16
2015-08-02,18
2015-08-03,20
2015-08-04,16
2015-08-05,21
2015-08-06,22
2015-08-07,29
2015-08-08,9
2015-08-09,10
2015-08-10,14
2015-08-11,11
2015-08-12,9
2015-08-13,17
2015-08-14,22
2015-08-15,22
2015-08-16,32
2015-08-17,27
2015-08-18,46
2015-08-19,25
2015-08-20,23
2015-08-21,17
2015-08-22,15
2015-08-23,27
2015-08-24,16
2015-08-25,24
2015-08-26,81
2015-08-27,42
2015-08-28,32
2015-08-29,20
2015-08-30,22
2015-08-31,30
2015-09-01,23
2015-09-02,35
2015-09-03,23
2015-09-04,29
2015-09-05,22
2015-09-06,17
2015-09-07,27
2015-09-08,20
2015-09-09,22
2015-09-10,15
2015-09-11,20
2015-09-12,18
2015-09-13,26
2015-09-14,32
2015-09-15,29
2015-09-16,28
2015-09-17,30
2015-09-18,22
2015-09-19,27
2015-09-20,30
2015-09-21,23
2015-09-22,42
2015-09-23,41
2015-09-24,40
2015-09-25,24
2015-09-26,46
2015-09-27,45
2015-09-28,41
2015-09-29,32
2015-09-30,28
2015-10-01,24
2015-10-02,38
2015-10-03,19
2015-10-04,30
2015-10-05,26
2015-10-06,20
2015-10-07,43
2015-10-08,27
2015-10-09,22
2015-10-10,25
2015-10-11,16
2015-10-12,20
2015-10-13,35
2015-10-14,36
2015-10-15,16
2015-10-16,23
2015-10-17,15
2015-10-18,23
2015-10-19,34
2015-10-20,54
2015-10-21,27
2015-10-22,21
2015-10-23,34
2015-10-24,27
2015-10-25,21
2015-10-26,20
2015-10-27,23
