Date,Influenza asiatica
2015-07-01,9
2015-07-02,12
2015-07-03,15
2015-07-04,7
2015-07-05,6
2015-07-06,6
2015-07-07,11
2015-07-08,8
2015-07-09,9
2015-07-10,5
2015-07-11,10
2015-07-12,13
2015-07-13,11
2015-07-14,5
2015-07-15,3
2015-07-16,9
2015-07-17,11
2015-07-18,9
2015-07-19,13
2015-07-20,6
2015-07-21,10
2015-07-22,9
2015-07-23,12
2015-07-24,4
2015-07-25,3
2015-07-26,6
2015-07-27,9
2015-07-28,11
2015-07-29,10
2015-07-30,9
2015-07-31,8
2015-08-01,11
2015-08-02,2
2015-08-03,11
2015-08-04,9
2015-08-05,7
2015-08-06,7
2015-08-07,5
2015-08-08,8
2015-08-09,11
2015-08-10,11
2015-08-11,7
2015-08-12,12
2015-08-13,8
2015-08-14,11
2015-08-15,8
2015-08-16,5
2015-08-17,12
2015-08-18,8
2015-08-19,12
2015-08-20,9
2015-08-21,7
2015-08-22,17
2015-08-23,12
2015-08-24,9
2015-08-25,6
2015-08-26,32
2015-08-27,18
2015-08-28,17
2015-08-29,11
2015-08-30,13
2015-08-31,10
2015-09-01,11
2015-09-02,3
2015-09-03,8
2015-09-04,10
2015-09-05,9
2015-09-06,9
2015-09-07,7
2015-09-08,10
2015-09-09,6
2015-09-10,5
2015-09-11,8
2015-09-12,12
2015-09-13,8
2015-09-14,8
2015-09-15,11
2015-09-16,13
2015-09-17,11
2015-09-18,5
2015-09-19,10
2015-09-20,6
2015-09-21,8
2015-09-22,8
2015-09-23,10
2015-09-24,6
2015-09-25,6
2015-09-26,9
2015-09-27,5
2015-09-28,9
2015-09-29,11
2015-09-30,10
2015-10-01,13
2015-10-02,9
2015-10-03,11
2015-10-04,11
2015-10-05,7
2015-10-06,17
2015-10-07,11
2015-10-08,5
2015-10-09,4
2015-10-10,7
2015-10-11,11
2015-10-12,16
2015-10-13,6
2015-10-14,9
2015-10-15,12
2015-10-16,9
2015-10-17,14
2015-10-18,17
2015-10-19,12
2015-10-20,10
2015-10-21,12
2015-10-22,10
2015-10-23,9
2015-10-24,15
2015-10-25,5
2015-10-26,7
2015-10-27,9
2015-10-28,10
2015-10-29,9
2015-10-30,16
2015-10-31,7
2015-11-01,14
2015-11-02,13
2015-11-03,22
2015-11-04,25
2015-11-05,9
2015-11-06,12
2015-11-07,22
2015-11-08,15
2015-11-09,12
2015-11-10,21
2015-11-11,11
2015-11-12,12
2015-11-13,3
2015-11-14,10
2015-11-15,12
2015-11-16,17
2015-11-17,21
2015-11-18,19
2015-11-19,18
2015-11-20,12
2015-11-21,19
2015-11-22,13
2015-11-23,13
2015-11-24,9
2015-11-25,13
2015-11-26,19
2015-11-27,18
2015-11-28,14
2015-11-29,16
2015-11-30,12
2015-12-01,10
2015-12-02,9
2015-12-03,18
2015-12-04,18
2015-12-05,18
2015-12-06,12
2015-12-07,18
2015-12-08,14
2015-12-09,13
2015-12-10,8
2015-12-11,5
2015-12-12,14
2015-12-13,16
2015-12-14,9
2015-12-15,7
2015-12-16,17
2015-12-17,7
2015-12-18,8
2015-12-19,19
2015-12-20,14
2015-12-21,10
2015-12-22,9
2015-12-23,16
2015-12-24,19
2015-12-25,24
2015-12-26,18
2015-12-27,18
2015-12-28,16
2015-12-29,13
2015-12-30,16
2015-12-31,13
2016-01-01,29
2016-01-02,21
2016-01-03,20
2016-01-04,17
2016-01-05,17
2016-01-06,15
2016-01-07,14
2016-01-08,10
2016-01-09,15
2016-01-10,21
2016-01-11,10
2016-01-12,15
2016-01-13,8
2016-01-14,26
2016-01-15,16
2016-01-16,14
2016-01-17,11
2016-01-18,21
2016-01-19,13
2016-01-20,23
2016-01-21,18
2016-01-22,18
2016-01-23,13
2016-01-24,20
2016-01-25,15
2016-01-26,14
2016-01-27,10
2016-01-28,19
2016-01-29,15
2016-01-30,22
2016-01-31,15
2016-02-01,16
2016-02-02,14
2016-02-03,17
2016-02-04,11
2016-02-05,17
2016-02-06,22
2016-02-07,12
2016-02-08,25
2016-02-09,26
2016-02-10,19
2016-02-11,16
2016-02-12,21
2016-02-13,15
2016-02-14,14
2016-02-15,28
2016-02-16,21
2016-02-17,20
2016-02-18,19
2016-02-19,14
2016-02-20,22
2016-02-21,18
2016-02-22,19
2016-02-23,12
2016-02-24,18
2016-02-25,30
2016-02-26,12
2016-02-27,16
2016-02-28,26
2016-02-29,26
2016-03-01,14
2016-03-02,30
2016-03-03,22
2016-03-04,17
2016-03-05,23
2016-03-06,96
2016-03-07,26
2016-03-08,22
2016-03-09,30
2016-03-10,25
2016-03-11,17
2016-03-12,14
2016-03-13,26
2016-03-14,12
2016-03-15,11
2016-03-16,22
2016-03-17,16
2016-03-18,16
2016-03-19,14
2016-03-20,14
2016-03-21,11
2016-03-22,21
2016-03-23,19
2016-03-24,11
2016-03-25,14
2016-03-26,15
2016-03-27,33
2016-03-28,17
2016-03-29,11
2016-03-30,13
2016-03-31,16
2016-04-01,17
2016-04-02,13
2016-04-03,10
2016-04-04,13
2016-04-05,15
2016-04-06,12
2016-04-07,14
2016-04-08,13
2016-04-09,14
2016-04-10,13
2016-04-11,10
2016-04-12,11
2016-04-13,11
2016-04-14,8
2016-04-15,12
2016-04-16,13
2016-04-17,13
2016-04-18,16
2016-04-19,11
2016-04-20,11
2016-04-21,9
2016-04-22,8
2016-04-23,10
2016-04-24,23
2016-04-25,11
2016-04-26,8
2016-04-27,3
2016-04-28,11
2016-04-29,9
2016-04-30,10
2016-05-01,13
2016-05-02,10
2016-05-03,16
2016-05-04,8
2016-05-05,10
2016-05-06,9
2016-05-07,10
2016-05-08,6
2016-05-09,17
2016-05-10,12
2016-05-11,5
2016-05-12,15
2016-05-13,13
2016-05-14,5
2016-05-15,18
2016-05-16,7
2016-05-17,11
2016-05-18,10
2016-05-19,9
2016-05-20,14
2016-05-21,11
2016-05-22,9
2016-05-23,11
2016-05-24,10
2016-05-25,12
2016-05-26,10
2016-05-27,12
2016-05-28,19
2016-05-29,15
2016-05-30,11
2016-05-31,13
2016-06-01,9
2016-06-02,18
2016-06-03,9
2016-06-04,13
2016-06-05,21
2016-06-06,10
2016-06-07,14
2016-06-08,14
2016-06-09,12
2016-06-10,13
2016-06-11,12
2016-06-12,10
2016-06-13,13
2016-06-14,14
2016-06-15,6
2016-06-16,8
2016-06-17,11
2016-06-18,9
2016-06-19,8
2016-06-20,13
2016-06-21,13
2016-06-22,11
2016-06-23,16
2016-06-24,6
2016-06-25,9
2016-06-26,8
2016-06-27,10
2016-06-28,15
2016-06-29,8
2016-06-30,5
2016-07-01,8
2016-07-02,8
2016-07-03,14
2016-07-04,10
2016-07-05,12
2016-07-06,14
2016-07-07,9
2016-07-08,11
2016-07-09,5
2016-07-10,8
2016-07-11,10
2016-07-12,15
2016-07-13,8
2016-07-14,9
2016-07-15,15
2016-07-16,6
2016-07-17,9
2016-07-18,11
2016-07-19,11
2016-07-20,10
2016-07-21,12
2016-07-22,9
2016-07-23,7
2016-07-24,6
2016-07-25,6
2016-07-26,20
2016-07-27,15
2016-07-28,6
2016-07-29,3
2016-07-30,4
2016-07-31,8
2016-08-01,8
2016-08-02,14
2016-08-03,4
2016-08-04,14
2016-08-05,1
2016-08-06,5
2016-08-07,6
2016-08-08,10
2016-08-09,5
2016-08-10,7
2016-08-11,7
2016-08-12,11
2016-08-13,11
2016-08-14,3
2016-08-15,7
2016-08-16,8
2016-08-17,9
2016-08-18,11
2016-08-19,6
2016-08-20,7
2016-08-21,7
2016-08-22,9
2016-08-23,10
2016-08-24,16
2016-08-25,17
2016-08-26,15
2016-08-27,10
2016-08-28,10
2016-08-29,14
2016-08-30,15
2016-08-31,15
2016-09-01,15
2016-09-02,7
2016-09-03,11
2016-09-04,12
2016-09-05,16
2016-09-06,16
2016-09-07,9
2016-09-08,11
2016-09-09,17
2016-09-10,12
2016-09-11,14
2016-09-12,15
2016-09-13,9
2016-09-14,11
2016-09-15,11
2016-09-16,8
2016-09-17,6
2016-09-18,10
2016-09-19,15
2016-09-20,12
2016-09-21,21
2016-09-22,15
2016-09-23,15
2016-09-24,7
2016-09-25,11
2016-09-26,39
2016-09-27,26
2016-09-28,17
2016-09-29,16
2016-09-30,21
2016-10-01,26
2016-10-02,20
2016-10-03,13
2016-10-04,20
2016-10-05,12
2016-10-06,11
2016-10-07,14
2016-10-08,26
2016-10-09,29
2016-10-10,13
2016-10-11,13
2016-10-12,23
2016-10-13,13
2016-10-14,13
2016-10-15,18
2016-10-16,31
2016-10-17,22
2016-10-18,22
2016-10-19,13
2016-10-20,16
2016-10-21,10
2016-10-22,26
2016-10-23,13
2016-10-24,25
2016-10-25,33
2016-10-26,18
2016-10-27,21
2016-10-28,16
