Date,Raffreddore
2015-07-01,10
2015-07-02,10
2015-07-03,9
2015-07-04,4
2015-07-05,3
2015-07-06,8
2015-07-07,8
2015-07-08,4
2015-07-09,3
2015-07-10,6
2015-07-11,8
2015-07-12,7
2015-07-13,2
2015-07-14,6
2015-07-15,7
2015-07-16,8
2015-07-17,3
2015-07-18,5
2015-07-19,3
2015-07-20,9
2015-07-21,9
2015-07-22,6
2015-07-23,7
2015-07-24,2
2015-07-25,3
2015-07-26,2
2015-07-27,5
2015-07-28,12
2015-07-29,8
2015-07-30,8
2015-07-31,3
2015-08-01,4
2015-08-02,3
2015-08-03,4
2015-08-04,4
2015-08-05,8
2015-08-06,8
2015-08-07,5
2015-08-08,5
2015-08-09,6
2015-08-10,6
2015-08-11,12
2015-08-12,4
2015-08-13,8
2015-08-14,5
2015-08-15,14
2015-08-16,30
2015-08-17,14
2015-08-18,7
2015-08-19,12
2015-08-20,10
2015-08-21,12
2015-08-22,4
2015-08-23,7
2015-08-24,8
2015-08-25,9
2015-08-26,10
2015-08-27,5
2015-08-28,13
2015-08-29,13
2015-08-30,8
2015-08-31,44
2015-09-01,10
2015-09-02,9
2015-09-03,4
2015-09-04,12
2015-09-05,9
2015-09-06,4
2015-09-07,18
2015-09-08,11
2015-09-09,16
2015-09-10,11
2015-09-11,15
2015-09-12,12
2015-09-13,9
2015-09-14,20
2015-09-15,15
2015-09-16,11
2015-09-17,8
2015-09-18,11
2015-09-19,8
2015-09-20,13
2015-09-21,18
2015-09-22,20
2015-09-23,12
2015-09-24,18
2015-09-25,14
2015-09-26,13
2015-09-27,23
2015-09-28,16
2015-09-29,27
2015-09-30,27
2015-10-01,32
2015-10-02,22
2015-10-03,28
2015-10-04,10
2015-10-05,33
2015-10-06,19
2015-10-07,23
2015-10-08,31
2015-10-09,25
2015-10-10,25
2015-10-11,15
2015-10-12,17
2015-10-13,16
2015-10-14,24
2015-10-15,15
2015-10-16,27
2015-10-17,17
2015-10-18,24
2015-10-19,16
2015-10-20,14
2015-10-21,16
2015-10-22,20
2015-10-23,23
2015-10-24,18
2015-10-25,23
2015-10-26,19
2015-10-27,24
2015-10-28,25
2015-10-29,19
2015-10-30,23
2015-10-31,13
2015-11-01,16
2015-11-02,18
2015-11-03,9
2015-11-04,20
2015-11-05,8
2015-11-06,20
2015-11-07,20
2015-11-08,13
2015-11-09,13
2015-11-10,13
2015-11-11,12
2015-11-12,11
2015-11-13,25
2015-11-14,9
2015-11-15,10
2015-11-16,15
2015-11-17,13
2015-11-18,17
2015-11-19,16
2015-11-20,10
2015-11-21,9
2015-11-22,17
2015-11-23,23
2015-11-24,16
2015-11-25,8
2015-11-26,10
2015-11-27,11
2015-11-28,20
2015-11-29,19
2015-11-30,20
2015-12-01,12
2015-12-02,12
2015-12-03,11
2015-12-04,16
2015-12-05,13
2015-12-06,19
2015-12-07,7
2015-12-08,13
2015-12-09,12
2015-12-10,19
2015-12-11,12
2015-12-12,14
2015-12-13,15
2015-12-14,20
2015-12-15,15
2015-12-16,22
2015-12-17,33
2015-12-18,7
2015-12-19,24
2015-12-20,20
2015-12-21,24
2015-12-22,23
2015-12-23,14
2015-12-24,20
2015-12-25,16
2015-12-26,30
2015-12-27,30
2015-12-28,12
2015-12-29,29
2015-12-30,25
2015-12-31,18
2016-01-01,34
2016-01-02,19
2016-01-03,25
2016-01-04,27
2016-01-05,27
2016-01-06,33
2016-01-07,16
2016-01-08,26
2016-01-09,28
2016-01-10,24
2016-01-11,29
2016-01-12,26
2016-01-13,19
2016-01-14,18
2016-01-15,32
2016-01-16,15
2016-01-17,10
2016-01-18,22
2016-01-19,21
2016-01-20,27
2016-01-21,25
2016-01-22,16
2016-01-23,35
2016-01-24,25
2016-01-25,36
2016-01-26,18
2016-01-27,21
2016-01-28,29
2016-01-29,25
2016-01-30,25
2016-01-31,16
2016-02-01,18
2016-02-02,31
2016-02-03,27
2016-02-04,25
2016-02-05,18
2016-02-06,17
2016-02-07,26
2016-02-08,25
2016-02-09,30
2016-02-10,28
2016-02-11,14
2016-02-12,16
2016-02-13,14
2016-02-14,23
2016-02-15,28
2016-02-16,25
2016-02-17,46
2016-02-18,19
2016-02-19,33
2016-02-20,9
2016-02-21,18
2016-02-22,17
2016-02-23,15
2016-02-24,14
2016-02-25,14
2016-02-26,23
2016-02-27,14
2016-02-28,27
2016-02-29,26
2016-03-01,19
2016-03-02,11
2016-03-03,19
2016-03-04,17
2016-03-05,18
2016-03-06,24
2016-03-07,20
2016-03-08,19
2016-03-09,23
2016-03-10,17
2016-03-11,20
2016-03-12,16
2016-03-13,17
2016-03-14,17
2016-03-15,27
2016-03-16,22
2016-03-17,20
2016-03-18,16
2016-03-19,11
2016-03-20,30
2016-03-21,16
2016-03-22,22
2016-03-23,11
2016-03-24,16
2016-03-25,14
2016-03-26,11
2016-03-27,17
2016-03-28,23
2016-03-29,10
2016-03-30,12
2016-03-31,15
2016-04-01,10
2016-04-02,15
2016-04-03,10
2016-04-04,8
2016-04-05,11
2016-04-06,18
2016-04-07,11
2016-04-08,13
2016-04-09,7
2016-04-10,11
2016-04-11,10
2016-04-12,14
2016-04-13,13
2016-04-14,9
2016-04-15,6
2016-04-16,8
2016-04-17,10
2016-04-18,14
2016-04-19,11
2016-04-20,18
2016-04-21,17
2016-04-22,13
2016-04-23,12
2016-04-24,23
2016-04-25,23
2016-04-26,11
2016-04-27,13
2016-04-28,18
2016-04-29,6
2016-04-30,13
2016-05-01,13
2016-05-02,11
2016-05-03,19
2016-05-04,12
2016-05-05,11
2016-05-06,9
2016-05-07,17
2016-05-08,4
2016-05-09,18
2016-05-10,10
2016-05-11,11
2016-05-12,23
2016-05-13,7
2016-05-14,10
2016-05-15,13
2016-05-16,14
2016-05-17,7
2016-05-18,10
2016-05-19,12
2016-05-20,4
2016-05-21,8
2016-05-22,6
2016-05-23,15
2016-05-24,8
2016-05-25,19
2016-05-26,5
2016-05-27,16
2016-05-28,4
2016-05-29,9
2016-05-30,6
2016-05-31,10
2016-06-01,7
2016-06-02,7
2016-06-03,3
2016-06-04,9
2016-06-05,5
2016-06-06,5
2016-06-07,7
2016-06-08,5
2016-06-09,9
2016-06-10,4
2016-06-11,8
2016-06-12,0
2016-06-13,5
2016-06-14,2
2016-06-15,7
2016-06-16,7
2016-06-17,5
2016-06-18,0
2016-06-19,5
2016-06-20,12
2016-06-21,8
2016-06-22,3
2016-06-23,5
2016-06-24,4
2016-06-25,2
2016-06-26,3
2016-06-27,3
2016-06-28,4
2016-06-29,1
2016-06-30,1
2016-07-01,7
2016-07-02,3
2016-07-03,3
2016-07-04,2
2016-07-05,6
2016-07-06,9
2016-07-07,3
2016-07-08,4
2016-07-09,1
2016-07-10,6
2016-07-11,8
2016-07-12,0
2016-07-13,4
2016-07-14,6
2016-07-15,2
