Date,Starnuto
2015-07-01,84
2015-07-02,74
2015-07-03,64
2015-07-04,54
2015-07-05,60
2015-07-06,62
2015-07-07,45
2015-07-08,63
2015-07-09,63
2015-07-10,59
2015-07-11,61
2015-07-12,66
2015-07-13,58
2015-07-14,66
2015-07-15,66
2015-07-16,67
2015-07-17,77
2015-07-18,63
2015-07-19,67
2015-07-20,43
2015-07-21,60
2015-07-22,64
2015-07-23,67
2015-07-24,61
2015-07-25,62
2015-07-26,83
2015-07-27,58
2015-07-28,53
2015-07-29,59
2015-07-30,66
2015-07-31,53
2015-08-01,66
2015-08-02,84
2015-08-03,48
2015-08-04,82
2015-08-05,61
2015-08-06,79
2015-08-07,56
2015-08-08,64
2015-08-09,74
2015-08-10,57
2015-08-11,67
2015-08-12,80
2015-08-13,74
2015-08-14,71
2015-08-15,71
2015-08-16,81
2015-08-17,80
2015-08-18,58
2015-08-19,88
2015-08-20,83
2015-08-21,104
2015-08-22,105
2015-08-23,82
2015-08-24,78
2015-08-25,88
2015-08-26,96
2015-08-27,107
2015-08-28,78
2015-08-29,79
2015-08-30,88
2015-08-31,76
2015-09-01,82
2015-09-02,73
2015-09-03,101
2015-09-04,89
2015-09-05,78
2015-09-06,86
2015-09-07,91
2015-09-08,97
2015-09-09,119
2015-09-10,94
2015-09-11,120
2015-09-12,75
2015-09-13,106
2015-09-14,84
2015-09-15,74
2015-09-16,86
2015-09-17,74
2015-09-18,81
2015-09-19,68
2015-09-20,100
2015-09-21,92
2015-09-22,108
2015-09-23,114
2015-09-24,94
2015-09-25,110
2015-09-26,109
2015-09-27,107
2015-09-28,96
2015-09-29,130
2015-09-30,121
2015-10-01,122
2015-10-02,108
2015-10-03,93
2015-10-04,108
2015-10-05,109
2015-10-06,106
2015-10-07,127
2015-10-08,101
2015-10-09,98
2015-10-10,91
2015-10-11,117
2015-10-12,85
2015-10-13,106
2015-10-14,104
2015-10-15,113
2015-10-16,98
2015-10-17,145
2015-10-18,118
2015-10-19,96
2015-10-20,82
2015-10-21,111
2015-10-22,95
2015-10-23,109
2015-10-24,90
2015-10-25,109
2015-10-26,122
2015-10-27,104
2015-10-28,92
2015-10-29,108
2015-10-30,94
2015-10-31,87
2015-11-01,104
2015-11-02,104
2015-11-03,100
2015-11-04,96
2015-11-05,98
2015-11-06,102
2015-11-07,94
2015-11-08,103
2015-11-09,120
2015-11-10,100
2015-11-11,110
2015-11-12,89
2015-11-13,87
2015-11-14,85
2015-11-15,109
2015-11-16,83
2015-11-17,74
2015-11-18,96
2015-11-19,79
2015-11-20,95
2015-11-21,96
2015-11-22,87
2015-11-23,91
2015-11-24,101
2015-11-25,95
2015-11-26,115
2015-11-27,103
2015-11-28,109
2015-11-29,111
2015-11-30,108
2015-12-01,103
2015-12-02,105
2015-12-03,107
2015-12-04,103
2015-12-05,104
2015-12-06,123
2015-12-07,98
2015-12-08,116
2015-12-09,110
2015-12-10,113
2015-12-11,120
2015-12-12,101
2015-12-13,134
2015-12-14,109
2015-12-15,163
2015-12-16,136
