Date,"Tachipirina"
2015-07-01,13
2015-07-02,18
2015-07-03,14
2015-07-04,10
2015-07-05,20
2015-07-06,29
2015-07-07,13
2015-07-08,17
2015-07-09,23
2015-07-10,19
2015-07-11,22
2015-07-12,20
2015-07-13,14
2015-07-14,18
2015-07-15,14
2015-07-16,13
2015-07-17,14
2015-07-18,11
2015-07-19,16
2015-07-20,20
2015-07-21,21
2015-07-22,24
2015-07-23,33
2015-07-24,14
2015-07-25,15
2015-07-26,21
2015-07-27,18
2015-07-28,36
2015-07-29,23
2015-07-30,13
2015-07-31,12
2015-08-01,16
2015-08-02,17
2015-08-03,17
2015-08-04,24
2015-08-05,28
2015-08-06,23
2015-08-07,17
2015-08-08,24
2015-08-09,13
2015-08-10,18
2015-08-11,23
2015-08-12,22
2015-08-13,32
2015-08-14,20
2015-08-15,26
2015-08-16,21
2015-08-17,21
2015-08-18,35
2015-08-19,17
2015-08-20,42
2015-08-21,39
2015-08-22,24
2015-08-23,19
2015-08-24,18
2015-08-25,14
2015-08-26,17
2015-08-27,21
2015-08-28,19
2015-08-29,31
2015-08-30,29
2015-08-31,38
2015-09-01,33
2015-09-02,35
2015-09-03,20
2015-09-04,18
2015-09-05,18
2015-09-06,24
2015-09-07,17
2015-09-08,19
2015-09-09,22
2015-09-10,16
2015-09-11,19
2015-09-12,27
2015-09-13,30
2015-09-14,27
2015-09-15,17
2015-09-16,27
2015-09-17,26
2015-09-18,25
2015-09-19,21
2015-09-20,30
2015-09-21,32
2015-09-22,37
2015-09-23,26
2015-09-24,22
2015-09-25,13
2015-09-26,3
2015-09-27,10
2015-09-28,3
2015-09-29,7
2015-09-30,7
2015-10-01,4
2015-10-02,8
2015-10-03,1
2015-10-04,10
2015-10-05,5
2015-10-06,13
2015-10-07,8
2015-10-08,9
2015-10-09,4
2015-10-10,6
2015-10-11,2
2015-10-12,5
2015-10-13,4
2015-10-14,8
2015-10-15,3
2015-10-16,6
2015-10-17,1
2015-10-18,10
2015-10-19,4
2015-10-20,2
2015-10-21,7
2015-10-22,5
2015-10-23,10
2015-10-24,7
2015-10-25,7
2015-10-26,2
2015-10-27,5
2015-10-28,6
2015-10-29,7
2015-10-30,8
2015-10-31,9
2015-11-01,5
2015-11-02,7
2015-11-03,7
2015-11-04,4
2015-11-05,1
2015-11-06,5
2015-11-07,3
2015-11-08,2
2015-11-09,4
2015-11-10,1
2015-11-11,6
2015-11-12,5
2015-11-13,8
2015-11-14,8
2015-11-15,5
2015-11-16,6
2015-11-17,12
2015-11-18,10
2015-11-19,10
2015-11-20,7
2015-11-21,1
2015-11-22,1
2015-11-23,10
2015-11-24,8
2015-11-25,5
2015-11-26,4
2015-11-27,5
2015-11-28,1
2015-11-29,6
2015-11-30,4
2015-12-01,8
2015-12-02,4
2015-12-03,6
2015-12-04,5
2015-12-05,3
2015-12-06,4
2015-12-07,4
2015-12-08,4
2015-12-09,9
2015-12-10,3
2015-12-11,2
2015-12-12,7
2015-12-13,4
2015-12-14,6
2015-12-15,7
2015-12-16,6
2015-12-17,3
2015-12-18,2
2015-12-19,3
2015-12-20,1
2015-12-21,3
2015-12-22,3
2015-12-23,3
2015-12-24,3
2015-12-25,10
2015-12-26,8
2015-12-27,2
2015-12-28,17
2015-12-29,10
2015-12-30,4
2015-12-31,11
2016-01-01,4
2016-01-02,8
2016-01-03,12
2016-01-04,9
2016-01-05,9
2016-01-06,9
2016-01-07,8
2016-01-08,6
2016-01-09,7
2016-01-10,6
2016-01-11,6
2016-01-12,8
2016-01-13,15
2016-01-14,9
2016-01-15,1
2016-01-16,2
2016-01-17,5
2016-01-18,10
2016-01-19,7
2016-01-20,5
2016-01-21,10
2016-01-22,12
2016-01-23,8
2016-01-24,6
2016-01-25,11
2016-01-26,15
2016-01-27,4
2016-01-28,13
2016-01-29,6
2016-01-30,1
2016-01-31,8
2016-02-01,8
2016-02-02,3
2016-02-03,8
2016-02-04,6
2016-02-05,7
2016-02-06,4
2016-02-07,5
2016-02-08,8
2016-02-09,12
