Date,""Tosse"""
2015-07-01,104
2015-07-02,70
2015-07-03,81
2015-07-04,52
2015-07-05,90
2015-07-06,96
2015-07-07,73
2015-07-08,70
2015-07-09,94
2015-07-10,86
2015-07-11,73
2015-07-12,66
2015-07-13,86
2015-07-14,69
2015-07-15,90
2015-07-16,66
2015-07-17,99
2015-07-18,72
2015-07-19,140
2015-07-20,107
2015-07-21,86
2015-07-22,70
2015-07-23,69
2015-07-24,78
2015-07-25,57
2015-07-26,63
2015-07-27,62
2015-07-28,70
2015-07-29,65
2015-07-30,70
2015-07-31,67
2015-08-01,69
2015-08-02,73
2015-08-03,53
2015-08-04,74
2015-08-05,77
2015-08-06,60
2015-08-07,61
2015-08-08,79
2015-08-09,59
2015-08-10,53
2015-08-11,70
2015-08-12,80
2015-08-13,92
2015-08-14,91
2015-08-15,66
2015-08-16,75
2015-08-17,89
2015-08-18,90
2015-08-19,135
2015-08-20,85
2015-08-21,104
2015-08-22,68
2015-08-23,71
2015-08-24,114
2015-08-25,82
2015-08-26,102
2015-08-27,109
2015-08-28,80
2015-08-29,53
2015-08-30,76
2015-08-31,112
2015-09-01,111
2015-09-02,98
2015-09-03,93
2015-09-04,91
2015-09-05,87
2015-09-06,88
2015-09-07,118
2015-09-08,92
2015-09-09,105
2015-09-10,89
2015-09-11,100
2015-09-12,74
2015-09-13,88
2015-09-14,94
2015-09-15,118
2015-09-16,99
2015-09-17,81
2015-09-18,105
2015-09-19,75
2015-09-20,78
2015-09-21,107
2015-09-22,118
2015-09-23,112
2015-09-24,150
2015-09-25,108
2015-09-26,101
2015-09-27,121
2015-09-28,130
2015-09-29,119
2015-09-30,106
2015-10-01,129
2015-10-02,142
2015-10-03,115
2015-10-04,142
2015-10-05,140
2015-10-06,179
2015-10-07,131
2015-10-08,169
2015-10-09,159
2015-10-10,137
2015-10-11,145
2015-10-12,168
2015-10-13,183
2015-10-14,143
2015-10-15,149
2015-10-16,147
2015-10-17,142
2015-10-18,145
2015-10-19,144
2015-10-20,187
2015-10-21,140
2015-10-22,168
2015-10-23,141
2015-10-24,120
2015-10-25,155
2015-10-26,150
2015-10-27,167
2015-10-28,161
2015-10-29,194
2015-10-30,169
2015-10-31,134
2015-11-01,163
2015-11-02,168
2015-11-03,184
2015-11-04,173
2015-11-05,151
2015-11-06,152
2015-11-07,118
2015-11-08,194
2015-11-09,196
2015-11-10,159
2015-11-11,178
2015-11-12,180
2015-11-13,182
2015-11-14,138
2015-11-15,142
2015-11-16,177
2015-11-17,217
2015-11-18,167
2015-11-19,160
2015-11-20,137
2015-11-21,131
2015-11-22,152
2015-11-23,158
2015-11-24,131
2015-11-25,196
2015-11-26,170
2015-11-27,110
2015-11-28,117
2015-11-29,147
